# Title : in-situ observations catalog
# Description : catalogue of available in-situ observations per platform
# Project : MyOcean
# Format : 1.0
# Date of update : 201801240820
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaEurope_20171225.nc,52.0101,52.0101,-4.9858,-4.9858,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:35:47Z,R,WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaFlavia_20171225.nc,57.3991,57.3991,21.5685,21.5685,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:35:49Z,R,TEMP WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaGothica_20171225.nc,57.6968,57.6970,11.9172,11.9174,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:35:51Z,R,WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaHollandica_20171225.nc,51.9722,51.9722,4.1337,4.1337,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:35:54Z,R,TEMP WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaJutlandica_20171225.nc,57.7015,57.7015,11.9425,11.9425,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:35:56Z,R,TEMP WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaLagan_20171225.nc,54.6298,54.6301,-5.8870,-5.8868,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:35:58Z,R,WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaMersey_20171225.nc,53.3986,53.3987,-3.0094,-3.0092,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:36:01Z,R,TEMP WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaNautica_20171225.nc,57.1103,57.1104,12.2430,12.2431,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:36:03Z,R,WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaNordica_20171225.nc,56.5282,56.5283,20.9953,20.9955,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,SMHI,2018-01-12T20:36:05Z,R,TEMP WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaSaga_20171225.nc,59.9044,59.9045,10.7371,10.7372,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:36:07Z,R,WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaSassnitz_20171225.nc,54.4710,55.3697,13.1397,13.7083,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:36:10Z,R,WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaScotia_20171225.nc,51.9445,51.9446,4.1278,4.1279,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:36:14Z,R,HCSP HCDT DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaSuperfastVIII_20171225.nc,54.9860,54.9860,-5.0390,-5.0389,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:36:18Z,R,TEMP WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaSuperfastX_20171225.nc,53.3196,53.3196,-4.6196,-4.6196,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:36:22Z,R,WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_StenaTransit_20171225.nc,51.9710,51.9710,4.1367,4.1368,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:36:24Z,R,WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_Urd_20171225.nc,56.5275,56.5275,20.9935,20.9935,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,STE,2018-01-12T20:35:35Z,R,WDIR HCSP HCDT WSPD DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_FB_Ymer_20171225.nc,65.5727,65.5728,22.1703,22.1704,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,SMHI,2018-01-12T20:36:33Z,R,TEMP RELH WDIR WSPD DEPH DRYT ATMP
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Aarhus_20171225.nc,56.1500,56.1500,10.2167,10.2167,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:19Z,R,TEMP SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Althagen_20171225.nc,54.3769,54.3769,12.4194,12.4194,2017-12-25T00:00:00Z,2017-12-25T23:45:00Z,BSH,2018-01-18T13:01:19Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Arko_20171225.nc,58.4843,58.4843,16.9607,16.9607,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,SMHI,2018-01-19T19:01:16Z,R,TEMP SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Assens_20171225.nc,55.2667,55.2667,9.8833,9.8833,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:22Z,R,SLEV DEPH
